stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522888,-0.157127,bakerloo,yes,1,"Baker Street Station Marylebone Rd,London,NW1"
940GZZLUCHX,Charing Cross Underground Station,NaptanMetroStation,51.507415,-0.127273,bakerloo,yes,1,"Charing Cross Underground Station,London Underground Ltd.,Trafalgar Square,London,WC2N 5DR"
940GZZLUEAC,Elephant & Castle Underground Station,NaptanMetroStation,51.49454,-0.100601,bakerloo,yes,1+2,"Elephant & Castle Underground Station,London Underground Ltd.,London Rd,London,SE1 6LW"
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507062,-0.122662,bakerloo,yes,1,"Embankment Station,London Underground Ltd.,Villiers St,London,WC2N 6NS"
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,NaptanMetroStation,51.520304,-0.170147,bakerloo,yes,1,"Edgware Road Bakerloo,London Underground Ltd.,Edgware Road,London,W2 1DY"
940GZZLUHAW,Harrow & Wealdstone Underground Station,NaptanMetroStation,51.592266,-0.335219,bakerloo,yes,5,"Harrow & Wealdstone,London Overground Ltd.,High Street,Harrow,HA3 5BP"
940GZZLUHSN,Harlesden Underground Station,NaptanMetroStation,51.536316,-0.257882,bakerloo,yes,3,"Harlesden,London Overground Ltd,Acton Lane,LONDON,NW10 7AA"
940GZZLUKEN,Kenton Underground Station,NaptanMetroStation,51.581763,-0.316911,bakerloo,yes,4,"Kenton,London Overground Ltd.,Kenton Road,Harrow,HA3 0AZ"
940GZZLUKPK,Kilburn Park Underground Station,NaptanMetroStation,51.534985,-0.194229,bakerloo,yes,2,"Kilburn Park Station,London Underground Ltd.,Cambridge Avenue,London,NW6 5AD"
940GZZLUKSL,Kensal Green Underground Station,NaptanMetroStation,51.530544,-0.225014,bakerloo,no,2,"Kensal Green,London Overground Ltd.,College Road,Kensal Green,HA10 5JT"
940GZZLULBN,Lambeth North Underground Station,NaptanMetroStation,51.498812,-0.11231,bakerloo,yes,1,"Lambeth North Station,London Underground Ltd.,110 Westminster Bridge Rd,London,SE1 7XG"
940GZZLUMVL,Maida Vale Underground Station,NaptanMetroStation,51.529782,-0.185756,bakerloo,yes,2,"Maida Vale Station,London Underground Ltd.,Elgin Avenue,London,W9 1JS"
940GZZLUMYB,Marylebone Underground Station,NaptanMetroStation,51.522327,-0.163204,bakerloo,yes,1,"Marylebone Underground Station,London Underground Ltd.,Harewood Row,London,NW1 6JP"
940GZZLUNWY,North Wembley Underground Station,NaptanMetroStation,51.562558,-0.304,bakerloo,no,4,"North Wembley,London Overground Ltd.,East Lane,Wembley,HA9 7NT"
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515228,-0.141899,bakerloo,yes,1,"Oxford Circus Station,London Underground Ltd.,Oxford St,London,W1B 3AG"
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516586,-0.175686,bakerloo,yes,1,"Paddington Underground Stations,London Underground Ltd.,Praed St,London,W2"
940GZZLUPCC,Piccadilly Circus Underground Station,NaptanMetroStation,51.510055,-0.133794,bakerloo,yes,1,"Piccadilly Circus Station,London Underground Ltd.,Piccadilly Circus,London,W1J 9HP"
940GZZLUQPS,Queen's Park Underground Station,NaptanMetroStation,51.534163,-0.204571,bakerloo,yes,2,"Queen's Park,London Overground Ltd.,Salusbury Road,London,NW6 6NL"
940GZZLURGP,Regent's Park Underground Station,NaptanMetroStation,51.523349,-0.146441,bakerloo,yes,1,"Regent's Park Station,London Underground Ltd.,Marylebone Rd,London,NW1 5HA"
940GZZLUSGP,Stonebridge Park Underground Station,NaptanMetroStation,51.543965,-0.275891,bakerloo,yes,3,"Stonebridge Park,London Overground Ltd.,North Circular Road,London,NW10 0RL"
940GZZLUSKT,South Kenton Underground Station,NaptanMetroStation,51.570238,-0.308433,bakerloo,yes,4,"South Kenton,London Overground Ltd.,Windermere Road,Preston,HA9 8RD"
940GZZLUWJN,Willesden Junction Underground Station,NaptanMetroStation,51.532264,-0.244282,bakerloo,yes,2+3,"Willesden Junction,London Overground Ltd.,Station Approach,Harlesden,NW10 4UY"
940GZZLUWKA,Warwick Avenue Underground Station,NaptanMetroStation,51.523268,-0.18378,bakerloo,yes,2,"Warwick Avenue Station,London Underground Ltd.,Warwick Avenue,London,W9 2PT"
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503303,-0.114776,bakerloo,yes,1,"Waterloo Underground Station,London Underground Ltd.,York Rd,London,SE1 7ND"
940GZZLUWYC,Wembley Central Underground Station,NaptanMetroStation,51.55231,-0.296852,bakerloo,yes,4,"Wembley Central,London Overground Ltd.,High Road,Wembley,HA9 7AJ"
