1000,91532,490000266G,WESTMINSTER STATION  - PARLIAMENT SQUARE,530171,179738,177,0K08,0
10001,72689,490013793E,TREVOR CLOSE,515781,174783,78,NB16,0
10002,48461,490000108F,HIGHBURY CORNER,531614,184603,5,C902,0
10003,77150,490000108B,HIGHBURY & ISLINGTON STATION,531551,184803,127,C903,0
10004,48037,490012451S,ST MARY MAGDALENE CHURCH,531365,184986,141,C904,0
10005,57538,490012451N,ST MARY MAGDALENE CHURCH,531328,185009,322,C904,0
10010,48458,490000114Y,HOLLOWAY ROAD STATION,531036,185378,141,C703,0
10011,58713,490000114U,HOLLOWAY ROAD STATION,530939,185465,321,C703,0
10014,71829,490009485R,LYNWOOD ROAD,517950,182729,99,QT08,0
10015,54595,490009485Q,LYNWOOD ROAD,517907,182704,278,QT08,0
10016,71358,490003803W,WOOLWICH ROAD - BEDONWELL ROAD,548180,177996,254,E609,0
10017,53343,490003803E,WOOLWICH ROAD - BEDONWELL ROAD,548036,177997,88,E609,0
10019,54840,490011348E,QUEENS ROAD,521827,168125,83,K306,0
10023,47747,490012751E,ST JOSEPH'S CHURCH,521080,168163,106,K302,0
10024,55564,490012751W,ST JOSEPH'S CHURCH,521012,168171,286,K302,0
10028,54775,490014411W,ELM ROAD - NEW MALDEN BAPTIST CHURCH,520697,168304,294,K301,0
10031,54086,490006079E,ARCHDALE PLACE,519927,168691,124,K415,0
10032,48984,490003361W,CALIFORNIA ROAD,520074,168585,295,K415,0
10037,55215,490014286E,WATERS ROAD,519527,168967,130,K206,0
10038,49132,490004703W,CAMBRIDGE GROVE,519254,169156,299,K205,0
10041,48178,490014039E,VICARAGE HOUSE,518954,169281,101,K202,0
1005,73736,490001237G,RAYNES PARK STATION,523241,169249,248,LG02,0
1007,52849,490012452W,KINGS ROAD,518686,175064,278,M814,0
1008,52652,490012452SH,ST MARY'S GROVE,518796,175063,103,M814,0
1010,55430,490005340K,CLAPTON POND,534857,185908,66,D908,0
1011,54763,490009035E,CLAPTON POND,534887,186004,168,D902,0
1013,74398,490006047D,CHAPTER ROAD,522062,184972,319,R702,0
1014,53531,490004989C,CHAPTER ROAD,522083,184966,139,R702,0
1017,77744,490013229P,ST JOHN STREET - GOSWELL ROAD,531453,183089,349,C102,0
1023,55186,490013149K,TALLY HO CORNER,526317,192117,14,TU08,0
10240,56141,490000127KA,KILBURN PARK STATION,525408,183391,23,RC09,0
10241,72081,490000127KB,KILBURN PARK STATION,525381,183300,200,RC09,0
10242,50012,490013254J,FAIRLAWN AVENUE,527295,189380,186,TW02,0
10243,59162,490010117W,MULGRAVE ROAD,524679,177667,255,6D02,0
10244,50268,490007053E,FULHAM POOLS,524535,177622,66,6G06,0
10258,47901,490010101S,THIRLMERE GARDENS,507962,191958,118,PN05,0
1026,72076,490003351Q,QUEEN'S GROVE,526571,183570,11,0Q04,0
10260,71039,490007622M,GLYN ROAD,536020,185145,252,DD16,0
10261,55897,490007622L,GLYN ROAD,535998,185150,73,DD16,0
1027,73838,490011336S,QUEEN'S GROVE,526587,183559,169,0Q05,0
10281,53798,490001197A,MORDEN SOUTH STATION,525286,167949,5,LC09,0
10282,56317,490001197B,MORDEN SOUTH STATION,525298,167852,202,LC09,0
10283,72299,490004960N,CHALGROVE AVENUE,525191,167781,58,LE14,0
10284,55063,490004647E,BUSHEY ROAD - GRAND DRIVE,523151,169059,80,LG01,0
10287,48147,490004647N,BUSHEY ROAD,523244,168951,357,LG06,0
10288,57612,490004647S,BUSHEY ROAD,523258,168879,176,LG06,0
10289,72760,490009036S,LEA BRIDGE ROAD,536921,187624,150,YJ06,0
1029,72571,490013205W,THAMES AVENUE,550121,183083,287,WK06,0
10290,58626,490009668N,LEA BRIDGE ROAD,536889,187654,325,YJ06,0
10297,56388,490004188S,ST SAVIOUR'S CHURCH,536761,187863,153,YA04,0
1030,72331,490001014B,BARNES STATION,522211,175652,217,M401,0
10300,59406,490011346N,QUEEN'S ROAD,536609,188269,356,YA03,0
10302,71309,490009667N,MARKHOUSE AVENUE,536556,188541,347,YA02,0
10303,56071,490009667S,MARKHOUSE AVENUE,536578,188491,167,YA02,0
10308,54143,490007974N,HAZELWOOD ROAD,536257,188881,318,YH12,0
10309,74646,490014166R,WALTHAMSTOW MARKET,536302,188834,156,YH12,0
1031,55951,490001014A,BARNES STATION,522267,175737,38,M401,0
